PM10_Al_Krasińskiego,
2021-10-30 01:00,105.2,
2021-10-30 02:00,98.3,
2021-10-30 03:00,93.5,
2021-10-30 04:00,90.0,
2021-10-30 05:00,90.0,
2021-10-30 06:00,94.1,
2021-10-30 07:00,92.6,
2021-10-30 08:00,96.0,
2021-10-30 09:00,100.1,
2021-10-30 10:00,78.5,
2021-10-30 11:00,54.0,
2021-10-30 12:00,54.6,
2021-10-30 13:00,46.0,
2021-10-30 14:00,42.2,
2021-10-30 15:00,35.7,
2021-10-30 16:00,33.1,
2021-10-30 17:00,39.7,
2021-10-30 18:00,67.2,
2021-10-30 19:00,74.1,
2021-10-30 20:00,67.0,
2021-10-30 21:00,37.7,
2021-10-30 22:00,31.9,
2021-10-30 23:00,28.9,
2021-10-31 00:00,34.1,
2021-10-31 01:00,41.5,
2021-10-31 02:00,49.7,
2021-10-31 03:00,51.9,
2021-10-31 04:00,55.5,
2021-10-31 05:00,59.6,
2021-10-31 06:00,60.0,
2021-10-31 07:00,58.6,
2021-10-31 08:00,59.7,
2021-10-31 09:00,59.4,
2021-10-31 10:00,49.5,
2021-10-31 11:00,45.0,
2021-10-31 12:00,26.8,
2021-10-31 13:00,28.1,
2021-10-31 14:00,25.4,
2021-10-31 15:00,29.5,
2021-10-31 16:00,41.3,
2021-10-31 17:00,61.4,
2021-10-31 18:00,67.5,
2021-10-31 19:00,62.9,
2021-10-31 20:00,56.7,
2021-10-31 21:00,60.2,
2021-10-31 22:00,65.9,
2021-10-31 23:00,67.4,
2021-11-01 00:00,61.9,
2021-11-01 01:00,60.2,
2021-11-01 02:00,59.9,
2021-11-01 03:00,61.6,
2021-11-01 04:00,70.5,
2021-11-01 05:00,66.4,
2021-11-01 06:00,66.7,
2021-11-01 07:00,65.8,
2021-11-01 08:00,62.3,
2021-11-01 09:00,57.7,
2021-11-01 10:00,40.6,
2021-11-01 11:00,35.2,
2021-11-01 12:00,32.3,
2021-11-01 13:00,26.1,
2021-11-01 14:00,24.8,
2021-11-01 15:00,27.4,
2021-11-01 16:00,34.7,
2021-11-01 17:00,54.5,
2021-11-01 18:00,58.0,
2021-11-01 19:00,57.0,
2021-11-01 20:00,54.4,
2021-11-01 21:00,61.9,
2021-11-01 22:00,61.4,
2021-11-01 23:00,71.5,
2021-11-02 00:00,72.9,
2021-11-02 01:00,67.5,
2021-11-02 02:00,65.7,
2021-11-02 03:00,63.8,
2021-11-02 04:00,51.2,
2021-11-02 05:00,55.1,
2021-11-02 06:00,57.9,
2021-11-02 07:00,53.2,
2021-11-02 08:00,56.1,
2021-11-02 09:00,60.4,
2021-11-02 10:00,56.7,
2021-11-02 11:00,51.9,
2021-11-02 12:00,53.0,
2021-11-02 13:00,58.0,
2021-11-02 14:00,54.4,
2021-11-02 15:00,60.2,
2021-11-02 16:00,57.5,
2021-11-02 17:00,57.1,
2021-11-02 18:00,53.3,
2021-11-02 19:00,45.9,
2021-11-02 20:00,39.4,
2021-11-02 21:00,38.5,
2021-11-02 22:00,40.3,
2021-11-02 23:00,41.1,
2021-11-03 00:00,40.6,
2021-11-03 01:00,39.1,
2021-11-03 02:00,36.2,
2021-11-03 03:00,34.3,
2021-11-03 04:00,36.4,
2021-11-03 05:00,37.2,
2021-11-03 06:00,34.4,
2021-11-03 07:00,33.8,
2021-11-03 08:00,35.3,
2021-11-03 09:00,20.4,
2021-11-03 10:00,33.9,
2021-11-03 11:00,58.2,
2021-11-03 12:00,28.1,
2021-11-03 13:00,33.5,
2021-11-03 14:00,24.9,
2021-11-03 15:00,33.2,
2021-11-03 16:00,37.8,
2021-11-03 17:00,51.2,
2021-11-03 18:00,36.3,
2021-11-03 19:00,49.7,
2021-11-03 20:00,35.8,
2021-11-03 21:00,28.1,
2021-11-03 22:00,24.2,
2021-11-03 23:00,27.0,
2021-11-04 00:00,34.6,
2021-11-04 01:00,30.3,
2021-11-04 02:00,23.6,
2021-11-04 03:00,26.2,
2021-11-04 04:00,22.2,
2021-11-04 05:00,19.3,
2021-11-04 06:00,21.1,
2021-11-04 07:00,18.7,
2021-11-04 08:00,28.5,
2021-11-04 09:00,35.1,
2021-11-04 10:00,79.0,
2021-11-04 11:00,100.6,
2021-11-04 12:00,76.8,
2021-11-04 13:00,73.1,
2021-11-04 14:00,71.2,
2021-11-04 15:00,42.4,
2021-11-04 16:00,24.6,
2021-11-04 17:00,16.2,
2021-11-04 18:00,17.2,
2021-11-04 19:00,24.0,
2021-11-04 20:00,26.8,
2021-11-04 21:00,25.0,
2021-11-04 22:00,13.0,
2021-11-04 23:00,16.4,
2021-11-05 00:00,7.4,
2021-11-05 01:00,5.0,
2021-11-05 02:00,8.1,
2021-11-05 03:00,10.6,
2021-11-05 04:00,6.8,
2021-11-05 05:00,13.5,
2021-11-05 06:00,16.6,
2021-11-05 07:00,26.8,
2021-11-05 08:00,31.9,
2021-11-05 09:00,22.6,
2021-11-05 10:00,23.3,
2021-11-05 11:00,23.1,
2021-11-05 12:00,24.2,
2021-11-05 13:00,23.5,
2021-11-05 14:00,20.8,
2021-11-05 15:00,20.3,
2021-11-05 16:00,23.6,
2021-11-05 17:00,25.8,
2021-11-05 18:00,32.1,
2021-11-05 19:00,44.2,
2021-11-05 20:00,46.1,
2021-11-05 21:00,38.9,
2021-11-05 22:00,35.9,
2021-11-05 23:00,37.7,
2021-11-06 00:00,27.0,
2021-11-06 01:00,27.5,
2021-11-06 02:00,34.7,
2021-11-06 03:00,33.5,
2021-11-06 04:00,28.3,
2021-11-06 05:00,29.6,
2021-11-06 06:00,31.2,
2021-11-06 07:00,33.7,
2021-11-06 08:00,34.2,
2021-11-06 09:00,42.2,
2021-11-06 10:00,30.7,
2021-11-06 11:00,26.3,
2021-11-06 12:00,15.2,
2021-11-06 13:00,14.8,
2021-11-06 14:00,17.2,
2021-11-06 15:00,17.5,
2021-11-06 16:00,17.5,
2021-11-06 17:00,24.2,
2021-11-06 18:00,37.6,
2021-11-06 19:00,51.2,
2021-11-06 20:00,73.4,
2021-11-06 21:00,86.5,
2021-11-06 22:00,94.7,
2021-11-06 23:00,98.5,
